model,fold,val_loss_slope,val_loss_std,val_loss_converged,val_accuracy_slope,val_accuracy_std,val_accuracy_converged
13,2,0.0030437707901001284,0.009569306467305826,True,-0.0011866901860092586,0.013559921834746741,False
13,3,0.001510854923363912,0.00477766724228279,True,0.0005933501503684244,0.0034258834669863413,True
13,4,0.0013007485505306406,0.006079842278389726,True,0.0002542875029824181,0.006851719483673317,False
13,5,0.004043303113995215,0.012131239101197708,False,0.000508581508289671,0.0052330788324890035,False
14,1,0.0009199619293212565,0.0070792487106231495,True,0.0006447452487367539,0.00975015989078776,False
14,2,0.006193030964244522,0.02154927271998391,False,-0.0012894904974735067,0.009515181748679637,False
14,3,0.005447916912310048,0.02394712031673072,False,9.548648668865168e-18,0.0,True
14,4,0.0010740558306376127,0.005019412872154228,True,0.0011605425314469735,0.014893631424224622,False
14,5,0.0030811956434539053,0.009750983857698172,True,-0.0013175227425315135,0.010649952864257886,False
15,1,0.0010986552093968113,0.006210583578683985,True,0.0009252840822393269,0.005063547994993445,False
15,2,0.00320962053356751,0.009444081683643501,True,0.00018505652745566003,0.008902221869266463,False
15,3,0.002324502395861088,0.010415226033193954,False,-0.0008790171507633039,0.005962019280329077,False
15,4,0.0020641749555414474,0.008046461097385839,True,0.00013879031846018738,0.007201515946250976,False
15,5,0.004010971387227372,0.015342636620707307,False,-0.0007402297222252915,0.004827910436134891,True
16,1,0.0011446526556304014,0.004171335324130813,True,1.6803868226253468e-17,0.0,True
16,2,0.0034464156988895434,0.01046099119074312,False,-0.003208559209650219,0.01315335358811994,False
16,3,0.0008991898912371986,0.004224104351724028,True,-8.912664471248994e-05,0.004411768913269043,True
16,4,0.0015943563345707202,0.007508386788327452,True,0.0015151515151515308,0.01644166532914675,False
16,5,0.0030926065011458365,0.01584490755232344,False,-0.0014260245091987577,0.018601632186374874,False
17,1,0.0017913081429221215,0.005359824194372503,True,-0.001763086246721668,0.012060454861405837,False
17,2,0.00017481572700270526,0.011253464429432094,False,0.0009366407538905242,0.009315415445419046,False
17,3,0.0012643199978452772,0.00481014561330895,True,0.0008896325573776792,0.006085560708557488,False
17,4,0.0022925127636302662,0.006781820262343309,True,0.0018348603537588655,0.01537894420612127,False
17,5,0.003725411675193102,0.011126416701792142,False,-5.5601741328391555e-05,0.007620735397079511,False
18,1,0.0034315773935028955,0.013303694983479303,False,-4.419621761167236e-18,0.0,True
18,2,0.002246035951556571,0.0077475479893632385,True,0.0009090922095558997,0.010000014305114746,False
18,3,0.001956612774820059,0.006154927442108104,True,0.0032634030688892942,0.013808114067060688,False
18,4,0.001010892607949026,0.004864831782759949,True,2.4978631355109098e-17,0.0,True
18,5,0.0026620738434069216,0.008148661244803282,True,-0.004195803945714781,0.020026280026614093,False
19,1,0.0018565625855416828,0.0054724491227179425,True,-0.0003673091079249534,0.0030303001403808594,True
19,2,0.0009647199601838435,0.0036543574572381944,True,-0.0001377434441537607,0.004850859170196155,True
19,3,0.0015600558483239648,0.00523085253556849,True,-0.00027548183094374594,0.005025184283902303,False
19,4,0.0006558226816581983,0.012987245812245557,False,-0.0011566010388460903,0.004887867695617824,False
19,5,0.0008689201239383368,0.003094072321109302,True,-4.6266931476002864e-05,0.004887893759944034,True
20,1,0.002372939297647205,0.007628656103771368,True,0.0004489335146817516,0.005521152209134357,False
20,2,0.00045372843742370135,0.0022095251668653552,True,0.001122333786704335,0.007905086939349866,False
20,3,0.0008062734748377827,0.004526218945019868,True,0.0006734002720226131,0.005657497485836884,False
20,4,0.0002556482950846276,0.0024654741646186356,True,-1.3845476373807108e-17,0.0,True
20,5,0.00588946342468261,0.017093905488027618,False,-0.0017424225807189818,0.008003897663672148,False
